Company Name,Industries,Email Convention
WestPark Capital,"Investment Banking, Sales and Trading, WestPark Capital",
The Wheatley Group,"Investment Banking, The Wheatley Group",john@thewheatleygroup.com
White Oak Group,"Investment Banking, White Oak Group",
White Peak Capital,"Investment Banking, White Peak Capital",
Wilberforce Capital Advisors,"Investment Banking, Wilberforce Capital Advisors",
Wilcox | Swartzwelder & Co.,"Investment Banking, Wilcox | Swartzwelder & Co.",
Wildon and Kwelny,"Corporate Finance, Investment Banking, Wildon and Kwelny",
Wiley Dickson,"Investment Banking, Wiley Dickson",
William and Henry Associates,"Investment Banking, William and Henry Associates",jsmith@williamhenryassociates.com
Windward Advisors,"Investment Banking, Private Equity, Windward Advisors",jsmith@towindward.com
Wolf Financial Group,"Accounting, Asset Management, Corporate Finance, Investment Banking, Wolf Financial Group",
Wolf Petravicius Associates,"Corporate Finance, Investment Banking, Wolf Petravicius Associates",
Wood and Company,"Investment Banking, Wood and Company",
Wood Warren,"Investment Banking, Wood Warren",
Woodbridge Group,"Investment Banking, Woodbridge Group",
WoodRock,"Investment Banking, WoodRock",jsmith@woodrock.com
Woods Business Group,"Investment Banking, Woods Business Group",
Woodward Group,"Investment Banking, Woodward Group",
World Business Brokers,"Investment Banking, World Business Brokers",
Worldwide Capital & Mergers,"Consulting, Investment Banking, Worldwide Capital & Mergers",
WR Hambrecht,"Investment Banking, WR Hambrecht",
WRSequence,"Investment Banking, WRSequence",
Wunderlich Securities,"Asset Management, Investment Banking, Wunderlich Securities",
Wyatt Matas and Associates,"Investment Banking, Wyatt Matas and Associates",jsmith@wyattmatas.com
The Valence Group,"Investment Banking, The Valence Group",jsmith@valencegroup.com
Valtus Capital Group,"Corporate Finance, Investment Banking, Valtus Capital Group",
Valufinder Group,"Investment Banking, Valufinder Group",
The Vant Group,"Investment Banking, The Vant Group",john@thevantgroup.com
Venture Management,"Investment Banking, Venture Management",
Venture Partners Capital,"Investment Banking, Venture Partners Capital",
Venturi and Company,"Corporate Finance, Investment Banking, Venturi and Company",jsmith@venturico.com
Veracap Corporate Finance,"Corporate Finance, Investment Banking, Veracap Corporate Finance",
VergePointe,"Asset Management, Consulting, Investment Banking, VergePointe",
Versailles Group,"Consulting, Investment Banking, Versailles Group",
Vetus Partners,"Consulting, Investment Banking, Vetus Partners",jsmith@vetuspartners.com
VR Business Brokers,"Investment Banking, VR Business Brokers",
VRA Partners,"Investment Banking, VRA Partners",Jsmith@vrapartners.com
VTB Group,"Asset Management, Consulting, Equity Research, Investment Banking, Venture Capital, VTB Group",
United Brokers Group,"Investment Banking, United Brokers Group",
Upton Financial Group,"Investment Banking, Upton Financial Group",
US Capital Partners,"Consulting, Investment Banking, US Capital Partners",Jsmith@uscapitalpartners.com
Taglich Brothers,"Corporate Finance, Equity Research, Investment Banking, Taglich Brothers",
Tango Equity,"Investment Banking, Tango Equity",
Taylor Companies,"Investment Banking, Taylor Companies",
Tech Venture Advisors,"Investment Banking, Tech Venture Advisors",
Teneca,"Corporate Finance, Investment Banking, Teneca",Jsmith@teneca.com
Tequity,"Investment Banking, Tequity",
TerraNova Capital Partners,"Asset Management, Investment Banking, TerraNova Capital Partners",
Tiger Brokerage Group,"Investment Banking, Tiger Brokerage Group",
TongYang Securities,"Asset Management, Investment Banking, TongYang Securities",
Tolarus Capital Advisors,"Investment Banking, Tolarus Capital Advisors",
Torch Partners,"Asset Management, Investment Banking, Torch Partners",
Touchstone Business Advisors,"Investment Banking, Touchstone Business Advisors",johnsmith@touchstonevm.com
Townsgate Associates,"Asset Management, Consulting, Investment Banking, Townsgate Associates",
Trademark Mergers & Acquisitions,"Investment Banking, Trademark Mergers & Acquisitions",
Transact Partners International,"Investment Banking, Transact Partners International",
Traversi Capital Advisors,"Investment Banking, Traversi Capital Advisors",
Trefethen Advisors,"Corporate Finance, Investment Banking, Trefethen Advisors",jsmith@trefethenadvisors.com
Triarch Partners,"Investment Banking, Triarch Partners",jsmith@triarchcapital.com
Trinity M&A Group,"Investment Banking, Trinity M&A Group",
TriVista,"Investment Banking, Private Equity, TriVista",
Trudeau and Trudeau Associates,"Investment Banking, Private Equity, Trudeau and Trudeau Associates",jdsmith@trudeau-trudeau.com
Trusted M&A,"Investment Banking, Trusted M&A",
TTK Partners,"Investment Banking, TTK Partners",
Tucker Capital Advisors,"Investment Banking, Tucker Capital Advisors",
Tudor Pickering Holt and Co,"Asset Management, Equity Research, Investment Banking, Tudor Pickering Holt and Co",
Tullius Partners,"Investment Banking, Tullius Partners",
Tully & Holland,"Investment Banking, Tully & Holland",
McColl Partners,"Investment Banking, McColl Partners",jsmith@mccollpartners.com
PwC PricewaterhouseCoopers,"Accounting, Consulting, Investment Banking, PwC PricewaterhouseCoopers",john.d.smith@us.pwc.com
Sabre Capital,"Consulting, Investment Banking, Sabre Capital",
Sage Canyon Advisors,"Investment Banking, Sage Canyon Advisors",
The Sage Group,"Investment Banking, The Sage Group",
Sarowdin Partners,"Investment Banking, Sarowdin Partners",
SBI Capital Markets,"Investment Banking, SBI Capital Markets",
SC and H Group,"Accounting, Asset Management, Corporate Finance, Investment Banking, SC and H Group",
Bruce D Schulman and Associates,"Bruce D Schulman and Associates, Investment Banking",john@schulmanassociates.com
Scott Macon,"Investment Banking, Scott Macon",
Scully Capital,"Investment Banking, Scully Capital",
Seabury Group,"Asset Management, Investment Banking, Seabury Group",jsmith@seaburygroup.com
Seacap Financial,"Consulting, Investment Banking, Seacap Financial",
Sebdo Capital Ventures,"Investment Banking, Private Equity, Sebdo Capital Ventures",
Seidman and Co,"Investment Banking, Seidman and Co",
Seneca Partners,"Investment Banking, Seneca Partners, Venture Capital",johns@senecapartners.com
Sett and Lucas,"Corporate Finance, Investment Banking, Private Equity, Sett and Lucas",
Seymour Pierce,"Asset Management, Corporate Finance, Equity Research, Investment Banking, Seymour Pierce",
Sherman and Company,"Investment Banking, Sherman and Company",
SHUAA Capital,"Asset Management, Equity Research, Investment Banking, Private Equity, SHUAA Capital",
Sikich Investment Banking,"Investment Banking, Sikich Investment Banking",
RS Platou,"Investment Banking, RS Platou, Other",john.smith@platou.com
Lindenaar  Co Corporate Finance,"Investment Banking, Lindenaar  Co Corporate Finance",info@lindenaar-cf.com
Quore Capital,"Investment Banking, Quore Capital",
Holland Corporate Finance,"Holland Corporate Finance, Investment Banking, Private Equity",
BlackArch Partners,"BlackArch Partners, Investment Banking",
"Stifel Nicolaus and Company, Inc","Asset Management, Equity Research, Investment Banking, Sales and Trading, Stifel Nicolaus and Company, Inc",jdsmith@stifel.com (John Doe Smith)
Wells Fargo and Company,"Accounting, Asset Management, Consulting, Corporate Finance, Equity Research, Hedge Funds, Investment Banking, Private Equity, Proprietary Trading, Sales and Trading, Venture Capital, Wells Fargo and Company",john.d.smith@wellsfargo.com 
Q Advisors LLC,"Investment Banking, Q Advisors LLC",
BlueMind Corporate Finance Strategy,"BlueMind Corporate Finance Strategy, Investment Banking",
Cornerstone Partners,"Cornerstone Partners, Investment Banking, Private Equity",
FBM Mahler,"FBM Mahler, Investment Banking",
Silver Lane Advisors,"Investment Banking, Silver Lane Advisors",
Silver Portal Capital,"Investment Banking, Private Equity, Silver Portal Capital",
Silverstone Advisors,"Investment Banking, Silverstone Advisors",
Simmons and Company,"Equity Research, Investment Banking, Sales and Trading, simmons and company",
Software Equity Group,"Investment Banking, Software Equity Group",
Solution Corporate Finance,"Investment Banking, Solution Corporate Finance",
Sonenshine Partners,"Investment Banking, Sonenshine Partners",
Source Capital Group,"Investment Banking, Source Capital Group",
Southard Financial,"Consulting, Investment Banking, Southard Financial",
Southridge,"Asset Management, Consulting, Investment Banking, Southridge",
Spara Capital Partners,"Investment Banking, Spara Capital Partners",
Spark Capital Advisors (India),"Investment Banking, Spark Capital Advisors (India)",
Spartan Group,"Investment Banking, Spartan Group",
Spectrum Acquisitions,"Corporate Finance, Investment Banking, Spectrum Acquisitions",
Spencer Clarke,"Investment Banking, Private Equity, Spencer Clarke",
Spinnaker Group Capital Advisors,"Investment Banking, Spinnaker Group Capital Advisors",
SRP Advisors,"Investment Banking, SRP Advisors",
Stamford Capital,"Investment Banking, Stamford Capital",
Starlight Investments,"Investment Banking, Starlight Investments",
Stenvall Skoeld and Company,"Investment Banking, Stenvall Skoeld and Company",
Stephens and Partners,"Investment Banking, Stephens and Partners",
Stevenson and Company,"Investment Banking, Stevenson and Company",
Stirling Mercantile Corporation,"Investment Banking, Stirling Mercantile Corporation",
StoneCastle Partners,"Asset Management, Investment Banking, StoneCastle Partners",
Stonebridge Associates,"Investment Banking, Stonebridge Associates",
StoneRidge Advisors,"Consulting, Investment Banking, StoneRidge Advisors",
Stoneworth Financial,"Investment Banking, Stoneworth Financial",
Stout Risius Ross,"Accounting, Investment Banking, Stout Risius Ross",
Stratagem Partnering,"Consulting, Investment Banking, Stratagem Partnering",
Strategic Equity Group,"Investment Banking, Strategic Equity Group",
Structura,"Investment Banking, Structura",
STS Capital Partners,"Investment Banking, STS Capital Partners",
Stump Companies,"Corporate Finance, Investment Banking, Stump Companies",
Sucsy Fischer and Company,"Investment Banking, Sucsy Fischer and Company",
Sun Acquisitions,"Investment Banking, Sun Acquisitions",
SunTrust Robinson Humphrey STRH,"Asset Management, Equity Research, Investment Banking, Sales and Trading, SunTrust Robinson Humphrey STRH",
Swicorp,"Asset Management, Investment Banking, Private Equity, Swicorp",
Synergis Capital,"Investment Banking, Synergis Capital",
Synergy Partners,"Consulting, Investment Banking, Synergy Partners",
Mirus Capital Advisors,"Investment Banking, Mirus Capital Advisors",Smith@merger.com
Credit Agricole,"Credit Agricole, Investment Banking, Sales and Trading",
RA Capital Advisors,"Investment Banking, RA Capital Advisors",
Rabobank Group,"Asset Management, Investment Banking, Private Equity, Rabobank Group",john.smith@rabobank.com
Raiffeisen Investment,"Investment Banking, Raiffeisen Investment",
Raindance Strategic Partners,"Investment Banking, Raindance Strategic Partners",
Raintree Capital Partners,"Investment Banking, Raintree Capital Partners",
Raptor Partners,"Investment Banking, Raptor Partners",
Rasmala Investment Bank,"Investment Banking, Rasmala Investment Bank",
Redwood Capital,"Investment Banking, Private Equity, Redwood Capital",
Reedland Capital Partners,"Investment Banking, Reedland Capital Partners",
EVE Partners,"EVE Partners, Investment Banking",
Oxbridge Group,"Hedge Funds, Investment Banking, Oxbridge Group, Private Equity, Recruiting - Headhunter, Venture Capital",JohnS@oxbridgegroup.com
Fidus Partners,"Fidus Partners, Investment Banking, Private Equity",JSmith@fiduspartners.com
Renaissance Partners,"Investment Banking, Renaissance Partners",
Resource Financial Corporation,"Consulting, Corporate Finance, Investment Banking, Resource Financial Corporation",jsmith@resource-financial.com
Rippe and Kingston Capital Advisors,"Accounting, Investment Banking, Rippe and Kingston Capital Advisors",
RiverHawk Group,"Investment Banking, RiverHawk Group",
Riverside Management Group,"Investment Banking, Riverside Management Group, Venture Capital",jsmith@rmginvestments.com
RiverStone Wealth Management,"Asset Management, Consulting, Investment Banking, RiverStone Wealth Management",
Rivington Capital Advisors,"Investment Banking, Rivington Capital Advisors",
RLS Associates,"Investment Banking, RLS Associates",Jsmith@RLSAssociates.com
Robertson and Foley,"Investment Banking, Robertson and Foley",
BlueStone Real Estate Capital,"Asset Management, BlueStone Real Estate Capital, Investment Banking",jdoe@bluestonecap.com
Griffin Financial Group,"Griffin Financial Group, Investment Banking",
Fairmount Partners,"Fairmount Partners, Investment Banking",
Rockwell Global Capital,"Investment Banking, Rockwell Global Capital",
ROGO Capital,"Investment Banking, ROGO Capital",
Rosario Capital,"Investment Banking, Rosario Capital",
Rutberg and Company,"Equity Research, Investment Banking, Rutberg and Company",
Quam Capital,"Investment Banking, Quam Capital",
Quayle Munro,"Asset Management, Investment Banking, Quayle Munro",
Quazar Capital Corporation,"Investment Banking, Quazar Capital Corporation",
P&M Corporate Finance,"Investment Banking, P&M Corporate Finance",
Pacific Crest Securities,"Equity Research, Investment Banking, Pacific Crest Securities, Sales and Trading",
Pacific International Capital,"Investment Banking, Pacific International Capital",
Paine Pacific,"Investment Banking, Paine Pacific",
Paley Dixon,"Investment Banking, Paley Dixon",
Pallas Capital,"Investment Banking, Pallas Capital",
Palomino Capital,"Investment Banking, Palomino Capital",
Panthera Global,"Investment Banking, Panthera Global",
Paramax Corporation,"Investment Banking, Paramax Corporation",
Park Lane,"Investment Banking, Park Lane",
Parks Paton Hoepfl and Brown,"Investment Banking, Parks Paton Hoepfl and Brown",
Partanea,"Investment Banking, Partanea",
PCE Holdings,"Investment Banking, PCE Holdings",
Pelion Financial Group,"Asset Management, Investment Banking, Pelion Financial Group, Sales and Trading",
The Performance Group,"Investment Banking, The Performance Group",
Periculum Capital Company,"Investment Banking, Periculum Capital Company",
Peter A Sokoloff and Co,"Investment Banking, Peter A Sokoloff and Co, Venture Capital",
PGP Capital Advisors,"Investment Banking, PGP Capital Advisors",
Pierce Capital Partners,"Investment Banking, Pierce Capital Partners, Private Equity",
Pitt Capital Partners,"Investment Banking, Pitt Capital Partners",
Plexus Capital,"Investment Banking, Plexus Capital",
BOC International Holdings,"BOC International Holdings, Investment Banking, Other",
Poland Corporate Finance,"Investment Banking, Poland Corporate Finance",
Pope and Company,"Asset Management, Equity Research, Investment Banking, Pope and Company, Sales and Trading",
Precipice Capital,"Investment Banking, Precipice Capital",
Presidio Group,"Asset Management, Investment Banking, Presidio Group, Private Equity",
PrinceRidge,"Investment Banking, PrinceRidge, Sales and Trading",
Pritchard Osborne Equity Ventures,"Investment Banking, Pritchard Osborne Equity Ventures",
ProFinance Associates,"Consulting, Investment Banking, ProFinance Associates",
Progress Partners,"Investment Banking, Progress Partners",
Promontory Financial Group,"Asset Management, Investment Banking, Promontory Financial Group",jsmith@promontory.com
Provident Healthcare Partners,"Investment Banking, Provident Healthcare Partners",
Publikum Group,"Consulting, Investment Banking, Publikum Group",
OKeeffe and OMalley,"Investment Banking, OKeeffe and OMalley",
Ocean Park Advisors,"Investment Banking, Ocean Park Advisors",
OceanWater Investments,"Asset Management, Consulting, Investment Banking, OceanWater Investments",
Odin Advisors,"Consulting, Investment Banking, Odin Advisors",
OEM Capital,"Investment Banking, OEM Capital",js@oemcapital.com
OEM Capital Corporation,"Investment Banking, OEM Capital Corporation",
Okto Finance,"Investment Banking, Okto Finance, Private Equity",
Onyx Associates,"Asset Management, Consulting, Investment Banking, Onyx Associates",
Oracle Capital,"Investment Banking, Oracle Capital",
Orion Capital Group,"Investment Banking, Orion Capital Group",
Orr Group,"Investment Banking, Orr Group",jsmith@theorrgroup.com
Osprey Capital,"Investment Banking, Osprey Capital",
OSK Holdings,"Asset Management, Investment Banking, OSK Holdings, Venture Capital",
OTT Financial,"Investment Banking, OTT Financial, Venture Capital, Other",
Oxford Advisors,"Investment Banking, Oxford Advisors",
National Capital Companies,"Investment Banking, National Capital Companies",
National Securities Corporation,"Investment Banking, National Securities Corporation, Sales and Trading",
Navigant Capital Advisors,"Consulting, Investment Banking, Navigant Capital Advisors",
Net Worth Solutions,"Investment Banking, Net Worth Solutions",
New England Brokerage Corporation,"Consulting, Investment Banking, New England Brokerage Corporation",
New World Merchant Partners,"Investment Banking, New World Merchant Partners",
NewCap Partners,"Investment Banking, NewCap Partners",
Newport Acquisition Services,"Investment Banking, Newport Acquisition Services",
National Investment Bank,"Investment Banking, National Investment Bank",
NIBC Bank,"Investment Banking, NIBC Bank",
Noble Financial Capital Markets,"Asset Management, Equity Research, Investment Banking, Noble Financial Capital Markets, Sales and Trading",
Northern Financial Corporation,"Equity Research, Investment Banking, Northern Financial Corporation",
NorthShore Capital Advisors,"Consulting, Investment Banking, NorthShore Capital Advisors",
M&A Capital,"Investment Banking, M&A Capital",
M&A Media Group,"Consulting, Investment Banking, M&A Media Group",
Macadam Capital Partners,"Investment Banking, Macadam Capital Partners",
Mad River Associates,"Investment Banking, Mad River Associates",
Madison Street Capital,"Investment Banking, Madison Street Capital",
Malaysian Industrial Development Finance Berhad,"Asset Management, Investment Banking, Malaysian Industrial Development Finance Berhad",
Manchester Financial Group,"Consulting, Investment Banking, Manchester Financial Group",
Mann Armistead and Epperson,"Consulting, Equity Research, Investment Banking, Mann Armistead and Epperson",
MAPE Advisory Group,"Investment Banking, MAPE Advisory Group, Private Equity",
Marcum Group,"Accounting, Asset Management, Consulting, Equity Research, Investment Banking, Marcum Group, Recruiting - Headhunter",
Marina Capital Partners,"Asset Management, Consulting, Investment Banking, Marina Capital Partners",
Marion Financial Corporation,"Consulting, Investment Banking, Marion Financial Corporation",
Markpoint Advisors,"Consulting, Investment Banking, Markpoint Advisors",
Marks Baughan and Company,"Investment Banking, Marks Baughan and Company",
Marlin and Associates,"Consulting, Investment Banking, Marlin and Associates",
Marriott and Co,"Investment Banking, Marriott and Co",
Marwood Group,"Investment Banking, Marwood Group",
MASI,"Investment Banking, MASI",
Maxim Group,"Asset Management, Equity Research, Investment Banking, Maxim Group, Sales and Trading",
Maybank Investment Bank Berhad,"Equity Research, Investment Banking, Maybank Investment Bank Berhad, Sales and Trading",
Mayfair Associates,"Investment Banking, Mayfair Associates",
Mayland AG,"Investment Banking, Mayland AG",
Mergers and Business Acquisitions,"Investment Banking, Mergers and Business Acquisitions",
MergerTech,"Investment Banking, MergerTech",
Meridian Capital,"Investment Banking, Meridian Capital",
McFaddin Metis Group,"Investment Banking, McFaddin Metis Group",
McFarland Dewey and Co,"Investment Banking, McFarland Dewey and Co",
McGladrey Capital Markets,"Investment Banking, McGladrey Capital Markets",
McGuireWoods Capital Group,"Investment Banking, McGuireWoods Capital Group",
McLean Group,"Investment Banking, McLean Group",
McMahon Capital Advisors,"Investment Banking, McMahon Capital Advisors",
MEA Advisors,"Investment Banking, MEA Advisors",
Media Venture Partners,"Investment Banking, Media Venture Partners",
Mediatech Capital Partners,"Investment Banking, Mediatech Capital Partners",
Merasco,"Investment Banking, Merasco",
Meridian Group,"Consulting, Investment Banking, Meridian Group",
Meritage Partners,"Investment Banking, Meritage Partners",
Merkel and Associates,"Consulting, Investment Banking, Merkel and Associates",
Merriman Holdings,"Equity Research, Investment Banking, Merriman Holdings, Sales and Trading",
Meyers Associates,"Asset Management, Investment Banking, Meyers Associates",
MHT Partners,"Investment Banking, MHT Partners",
MidCap Advisors,"Investment Banking, MidCap Advisors",
MidWest Capital Group,"Investment Banking, MidWest Capital Group",
Marketing Management Group,"Investment Banking, Marketing Management Group",
Monadnock Advisors,"Investment Banking, Monadnock Advisors",
Morgen Evan and Company,"Investment Banking, Morgen Evan and Company",
MPS Capital Advisors,"Investment Banking, MPS Capital Advisors",
MRCworldwide,"Investment Banking, MRCworldwide",
MSB Fairway Capital Partners,"Investment Banking, MSB Fairway Capital Partners, Private Equity",
Mufson Howe Hunter,"Investment Banking, Mufson Howe Hunter",
Murdock Capital Partners,"Investment Banking, Murdock Capital Partners",
Mytels and Associates,"Investment Banking, Mytels and Associates",
Landmark Capital,"Investment Banking, Landmark Capital",
Larchmont Associates,"Investment Banking, Larchmont Associates",
Laux and Company,"Investment Banking, Laux and Company",
Lawrence Capital,"Investment Banking, Lawrence Capital",
Lawrence Evans and Co,"Consulting, Investment Banking, Lawrence Evans and Co",
Lazard Middle Market,"Investment Banking, Lazard Middle Market",john.smith@lazardmm.com
LCG Capital,"Investment Banking, LCG Capital",
Ledgemont Capital Group,"Investment Banking, Ledgemont Capital Group, Private Equity",
Legacy Advisors,"Investment Banking, Legacy Advisors",
Legacy Securities,"Investment Banking, Legacy Securities",
Legend Merchant Bank,"Asset Management, Investment Banking, Legend Merchant Bank",
Leland Group,"Investment Banking, Leland Group",
Lenox Group,"Investment Banking, Lenox Group",
Leon Mayer and Co,"Investment Banking, Leon Mayer and Co, Private Equity",
Lexbridge International Mergers and Acquisitions Group,"Investment Banking, Lexbridge International Mergers and Acquisitions Group",
Lexington Capital Group,"Investment Banking, Lexington Capital Group",
Liberty Tree Advisors,"Consulting, Investment Banking, Liberty Tree Advisors",
Lighthouse Partners LLC,"Investment Banking, Lighthouse Partners LLC",
Lingate Financial Group,"Investment Banking, Lingate Financial Group",
LNP Group,"Investment Banking, LNP Group",
LockeBridge,"Investment Banking, LockeBridge, Private Equity",
Locust Walk Partners,"Consulting, Investment Banking, Locust Walk Partners",
Lombard Global,"Consulting, Investment Banking, Lombard Global",
LRG Capital Group,"Investment Banking, LRG Capital Group, Private Equity",
Luntz Suleiman and Associates,"Consulting, Investment Banking, Luntz Suleiman and Associates",
Lurie Besikof Lapidus and Company,"Accounting, Consulting, Investment Banking, Lurie Besikof Lapidus and Company",
Lyons Solutions,"Consulting, Investment Banking, Lyons Solutions",
Katalyst,"Investment Banking, Katalyst",
Kaufman Brothers,"Equity Research, Investment Banking, Kaufman Brothers, Sales and Trading",
Kaulkin Ginsberg,"Consulting, Investment Banking, Kaulkin Ginsberg",
KCP Capital,"Investment Banking, KCP Capital, Private Equity",
Keelson Advisors,"Investment Banking, Keelson Advisors",
Kensington Services,"Investment Banking, Kensington Services",
KeyBanc Capital Markets,"Asset Management, Equity Research, Investment Banking, KeyBanc Capital Markets, Sales and Trading",
Keystone Partners,"Investment Banking, Keystone Partners",
Kidron Corporate Advisors,"Investment Banking, Kidron Corporate Advisors",
Kinsella Group,"Investment Banking, Kinsella Group",
KippsDeSanto,"Investment Banking, KippsDeSanto",
Kirchner Private Capital Group,"Asset Management, Investment Banking, Kirchner Private Capital Group, Private Equity",
Klayman Alexander Group,"Investment Banking, Klayman Alexander Group",
Knox and Co,"Investment Banking, Knox and Co",
Koliver and Co,"Asset Management, Investment Banking, Koliver and Co, Private Equity",
KPMG,"Accounting, Asset Management, Investment Banking, KPMG, Private Equity",j.smith@kpmg.com
Kruse Acquisitions,"Investment Banking, Kruse Acquisitions",
Kuhn Capital,"Investment Banking, Kuhn Capital",
Jacobs Capital,"Investment Banking, Jacobs Capital",
Janas Associates,"Consulting, Investment Banking, Janas Associates",
Jane Capital Partners,"Investment Banking, Jane Capital Partners, Venture Capital",
JDB Capital Partners,"Investment Banking, JDB Capital Partners",
JHP Enterprises,"Investment Banking, JHP Enterprises",
JJK and Associates,"Consulting, Investment Banking, JJK and Associates",
JMR Capital,"Investment Banking, JMR Capital",
Johan Hekelaar,"Investment Banking, Johan Hekelaar",
Jopling,"Investment Banking, Jopling",
Jordan Edmiston Group,"Investment Banking, Jordan Edmiston Group",
I Bankers Securities,"I Bankers Securities, Investment Banking, Private Equity, Sales and Trading",
IBI Corporate Finance,"IBI Corporate Finance, Investment Banking",
ICG Capital Partners,"ICG Capital Partners, Investment Banking",
ICICI Securities,"Asset Management, ICICI Securities, Investment Banking",
IMaCS Virtus Global Partners,"Consulting, IMaCS Virtus Global Partners, Investment Banking",
iMerge Advisors,"iMerge Advisors, Investment Banking",
Indus Advisory,"Indus Advisory, Investment Banking",
Industrial III,"Industrial III, Investment Banking",
IndustryPro,"IndustryPro, Investment Banking",
Infinity Energy Capital,"Infinity Energy Capital, Investment Banking",
Infinity Financial Group,"Infinity Financial Group, Investment Banking",
Iniziativa Value,"Iniziativa Value, Investment Banking",
Inman Company,"Consulting, Inman Company, Investment Banking",
Innisbrook Equity Group,"Innisbrook Equity Group, Investment Banking",
Innovation Advisors,"Innovation Advisors, Investment Banking",
Innovation Capital,"Innovation Capital, Investment Banking",
Instream Partners,"Instream Partners, Investment Banking",
Intelligent Capital,"Intelligent Capital, Investment Banking",
INTL FCStone,"Equity Research, intl fcstone, Investment Banking, Sales and Trading",
Intrinsic Advisory Group,"Intrinsic Advisory Group, Investment Banking",
Iridium Partners,"Investment Banking, Iridium Partners, Venture Capital",
Iyisirket Dan__manl_k A_,"Investment Banking, Iyisirket Dan__manl_k A_",
HarborLight Capital Group,"Asset Management, HarborLight Capital Group, Investment Banking",
Harpeth Capital,"Harpeth Capital, Investment Banking",
Hartford Business Partners,"Hartford Business Partners, Investment Banking",
CI Harvest Associates,"CI Harvest Associates, Investment Banking",
Haverford Capital Advisors,"Haverford Capital Advisors, Investment Banking",
HDL Capital Corporation,"HDL Capital Corporation, Investment Banking",
Henberger Group,"Henberger Group, Investment Banking",
Herrera Partners,"Consulting, Herrera Partners, Investment Banking",
Herron and Associates,"Herron and Associates, Investment Banking",
Herron and Associates,"Herron and Associates, Investment Banking",
Hidden River Capital,"Hidden River Capital, Investment Banking",
High Rock Partners,"Consulting, High Rock Partners, Investment Banking",
Hilliard Lyons Investment Banking,"Hilliard Lyons Investment Banking, Investment Banking",
Hiram Capital,"Hiram Capital, Investment Banking, Private Equity",
Howard Frazier Barker Elliott,"Howard Frazier Barker Elliott, Investment Banking",
Howard Weil,"Equity Research, Howard Weil, Investment Banking, Sales and Trading",
HT Capital Advisors,"HT Capital Advisors, Investment Banking",
Hunter Wise Financial Group,"Hunter Wise Financial Group, Investment Banking",
Hyde Park Capital,"Hyde Park Capital, Investment Banking",
Gammon Miller,"Gammon Miller, Investment Banking",
Gardiner and Rauen,"Gardiner and Rauen, Investment Banking",
Garland McPherson and Associates,"Garland McPherson and Associates, Investment Banking",
GCA Savvian,"GCA Savvian, Investment Banking",
GCS Business Capital,"GCS Business Capital, Investment Banking",
Gelband and Company,"Gelband and Company, Investment Banking",
Muise Mergers and Acquisitions,"Investment Banking, Muise Mergers and Acquisitions",
Generation Equity Advisors,"Equity Research, Generation Equity Advisors, Investment Banking, Private Equity",
Generational Equity,"Generational Equity, Investment Banking",
George K Baum and Company,"George K Baum and Company, Investment Banking",
GILD Corporate Finance,"GILD Corporate Finance, Investment Banking",
Gladstone Associates,"Gladstone Associates, Investment Banking",
Glaucon Capital Partners,"Glaucon Capital Partners, Investment Banking",
Glenthorne Capital,"Glenthorne Capital, Investment Banking",
Global Alliance,"Global Alliance, Investment Banking, Venture Capital",
Global Capital Markets,"Global Capital Markets, Investment Banking",city@globcap.com
Global Investment House,"Asset Management, Global Investment House, Investment Banking",
GMP Securities,"Asset Management, Equity Research, GMP Securities, Investment Banking, Sales and Trading",
Goldblum Lentz,"Goldblum Lentz, Investment Banking",
Gordian Group,"Asset Management, Gordian Group, Investment Banking",
Graham Capital Partners,"Graham Capital Partners, Investment Banking",
Grail Partners,"Grail Partners, Investment Banking",
Granite Tower Capital,"Granite Tower Capital, Investment Banking",
Gray Capital,"Consulting, Gray Capital, Investment Banking",
Greenberg Advisors,"Greenberg Advisors, Investment Banking",
GreenOak Real Estate,"GreenOak Real Estate, Investment Banking, Private Equity",
Greentech Capital Advisors,"Greentech Capital Advisors, Investment Banking",
Greer and Walker,"Accounting, Asset Management, Greer and Walker, Investment Banking",
Greystone Group,"Greystone Group, Investment Banking",
Griffin Monroe Group,"Griffin Monroe Group, Investment Banking",
Griffin Securities,"Equity Research, Griffin Securities, Investment Banking, Sales and Trading",
Grindrod Bank,"Asset Management, Grindrod Bank, Investment Banking",
Growthink,"Consulting, Growthink, Investment Banking, Private Equity",
Gruppo Levey and Company,"Gruppo Levey and Company, Investment Banking",
GuideCap Partners,"GuideCap Partners, Investment Banking",
Gulf Atlantic Capital,"Gulf Atlantic Capital, Investment Banking",
Gulf International Bank BSC,"Asset Management, Gulf International Bank BSC, Investment Banking",
GulfStar Group,"GulfStar Group, Investment Banking",
Falcon Advisors,"Falcon Advisors, Investment Banking",
Falcon Capital Partners,"Falcon Capital Partners, Investment Banking",
Falls River Group,"Falls River Group, Investment Banking",
Farber Financial Group,"Farber Financial Group, Investment Banking",
Farlie Turner,"Farlie Turner, Investment Banking",
FBR,"Asset Management, Equity Research, FBR, Investment Banking, Sales and Trading",
FD Capital Advisors,"FD Capital Advisors, Investment Banking",
FHL Capital Corporation,"FHL Capital Corporation, Investment Banking",
FieldView Capital,"FieldView Capital, Investment Banking",
Financial Technology Partners,"financial technology partners, Investment Banking",
